student_id,name,email,hall_id,dept_id,advisor_id,mobile_no,bank_acc_no,present_address,contact_person_address,date_of_birth,nid_no,level,term
1701001,Valerio Camiscione,vincenzo67@example.net,6,1,10020,3802845982,8226577177,"Contrada Guido, 440 Appartamento 40
90038, Filaga (PA)","Contrada Gramsci, 185
53019, Monteaperti (SI)",1999-06-27,7936328731,1,2
1701002,Dolores Gentili,pier36@example.org,5,1,10020,3733348046,9176396049,"Viale Pizzo, 75
71020, Panni (FG)","Piazza Danilo, 6 Appartamento 19
84067, Policastro Bussentino (SA)",1998-12-20,8759742125,1,2
1701003,Sig. Giosuè Peruzzi,leonetroisi@example.net,5,1,10020,0789252372,9860787821,"Piazza Alberto, 893
20123, Milano (MI)","Strada Etta, 0 Appartamento 0
25015, Desenzano Del Garda (BS)",1999-06-26,9201467713,1,2
1701004,Micheletto Ortolani,guaranasilvestro@example.org,6,1,10020,+39 3407531600,8087090451,"Stretto Cagnotto, 87 Piano 2
39052, Altenburg (BZ)","Contrada Viridiana, 425 Appartamento 36
47865, San Leo (RN)",1998-05-02,8957128103,1,2
1701005,Angelica Mazzacurati,gonzagacecilia@example.org,5,1,10020,+39 08249398666,8842939682,"Borgo Fernanda, 65 Piano 0
23880, Casatenovo (LC)","Contrada Ninetta, 75 Appartamento 53
23010, Gerola Alta (SO)",1998-03-07,6135053290,1,2
1701006,Monica Ottino,ugopirandello@example.net,1,1,10020,+39 0555647876,1388595933,"Strada Orazio, 66 Appartamento 30
81023, Forchia Di Cervino (CE)","Canale Alderano, 86 Appartamento 7
27026, Madonna Delle Bozzole (PV)",1998-06-09,3008857598,1,2
1701007,Ronaldo Soprano,auroraceri@example.org,4,1,10020,05536064237,8898478586,"Piazza Cutrufo, 80
62011, Troviggiano (MC)","Strada Loredana, 98 Piano 6
47842, Pianventena (RN)",1997-11-19,4703672850,1,2
1701008,Rosaria Villadicani,tiziana78@example.com,2,1,10020,0543264770,3584289011,"Stretto Geronimo, 75 Appartamento 1
54021, Gabbiana (MS)","Borgo Dibiasi, 8 Appartamento 6
56029, Staffoli (PI)",1997-09-21,6881793675,1,2
1701009,Daria Salvo,rgrassi@example.org,4,1,10020,+39 382394679,6905166962,"Borgo Ariasso, 3
25024, Leno (BS)","Incrocio Pucci, 9 Piano 6
70129, Loseto (BA)",1997-09-20,8942494516,1,2
1701010,Eva Lamborghini,glorialovato@example.net,6,1,10020,37934550645,4948304841,"Stretto Renzo, 631
96012, Avola (SR)","Piazza Pomponio, 38
98031, Capizzi (ME)",1999-07-13,7074773275,1,2
1701011,Fabia Cuda,lucio89@example.com,3,1,10020,+39 0423446918,7922194023,"Vicolo Alessandro, 3 Piano 2
39041, Brennero (BZ)","Canale Alessio, 462
18011, Castellaro (IM)",1997-07-15,8291798804,1,2
1701012,Sig. Gian Guarana,travaglioalfredo@example.org,5,1,10020,+39 086508566,1172118290,"Contrada Gottardi, 88 Piano 9
00027, Roviano (RM)","Stretto Guglielmo, 6 Piano 3
28821, Cannero Riviera (VB)",1999-02-11,7075253431,1,2
1701013,Evangelista Cugia,montimichela@example.com,2,1,10020,377355469,7805311477,"Borgo Gonzaga, 58
33020, Forni Avoltri (UD)","Incrocio Anguillara, 5
89122, Vito (RC)",1997-11-26,2803369532,1,2
1701014,Goffredo Togliatti,nannicondoleo@example.com,6,1,10020,0541870076,5378065600,"Viale Petrassi, 54 Piano 3
86071, Castel San Vincenzo (IS)","Incrocio Paltrinieri, 8
82017, Pannarano (BN)",1997-02-12,8779283614,1,2
1701015,Cesare Andreozzi,gianni29@example.org,6,1,10020,0422715103,4997143889,"Viale Elladio, 54
67066, Rocca Di Botte (AQ)","Vicolo Tirabassi, 6 Piano 5
97013, Pedalino (RG)",1999-07-20,7538918089,1,2
1701016,Dante Alighieri,ibroschi@example.org,6,1,10020,36006926011,6886226225,"Rotonda Benito, 59 Piano 6
60125, Ancona (AN)","Incrocio Renier, 55 Piano 3
27038, Robbio (PV)",1999-04-22,9691459193,1,2
1701017,Uberto Canova,rosa42@example.org,6,1,10020,0583055393,4835995234,"Viale Barbara, 98
90044, Villagrazia Di Carini (PA)","Piazza Villadicani, 2 Piano 0
67067, Santo Stefano (AQ)",1998-03-08,1670147376,1,2
1701018,Eleanora Cianciolo,curcisalvi@example.com,3,1,10020,041538247,2459879002,"Strada Raimondo, 2 Piano 6
90149, Palermo (PA)","Canale Sergius, 14
14032, Casorzo (AT)",1997-04-22,3136414262,1,2
1701019,Flavia Gritti,valentinoranieri@example.com,2,1,10020,016539597,9171007062,"Contrada Ricciotti, 1 Piano 7
89853, San Gregorio D'Ippona (VV)","Borgo Ferragni, 164 Piano 9
13023, Campertogno (VC)",1998-09-06,8848667019,1,2
1701020,Pompeo Spadafora,dnicolini@example.com,7,1,10020,+39 0183920890,4101716499,"Via Irma, 65 Piano 4
16015, Orero (GE)","Contrada Carolina, 93 Appartamento 0
95126, Catania (CT)",1998-01-17,2755823290,1,2
1701021,Antonino Viviani,campanoraffaellino@example.com,3,1,10020,09328534294,6243122041,"Rotonda Leone, 22
63838, Belmonte Piceno (FM)","Borgo Severino, 74
55014, Marlia (LU)",1999-01-24,6045173978,1,2
1701022,Tiziana Zichichi,smonicelli@example.org,4,1,10020,04349386077,3615147860,"Via Carfagna, 31
90029, Valledolmo (PA)","Vicolo Annetta, 60
43053, Compiano (PR)",1999-07-30,6544858890,1,2
1701023,Venancio Trombetta,nicolo28@example.com,1,1,10020,+39 0131631401,8080586474,"Stretto Cundari, 24 Piano 5
85011, Acerenza (PZ)","Via Baglioni, 89
34148, Trieste (TS)",1998-02-22,3104895081,1,2
1701024,Valerio Gregorio,nittogionata@example.com,6,1,10020,+39 33638402214,5141555169,"Strada Fabrizio, 63 Appartamento 89
57020, La California (LI)","Canale Pasquale, 944
84134, Giovi (SA)",1998-10-01,2514017001,1,2
1701025,Domenico Bonomo,stefaniamorucci@example.net,1,1,10020,+39 0573370708,6639404235,"Strada Elmo, 5
83037, Montecalvo Irpino (AV)","Canale Giacomo, 993
89062, Lazzaro (RC)",1998-05-20,5507657845,1,2
