student_id,name,email,hall_id,dept_id,advisor_id,mobile_no,bank_acc_no,present_address,contact_person_address,date_of_birth,nid_no,level,term
1705001,Sig.ra Gemma Gozzano,fiorenzo06@example.net,1,5,10001,0734969777,9627084899,"Piazza Raffaello, 75
89823, Mongiana (VV)","Canale Puccio, 969
73030, Surano (LE)",1999-05-18,5019097201,1,2
1705002,Isabella Dovara,npulci@example.net,4,5,10001,0974170318,8550287671,"Contrada Sophia, 94 Piano 1
26042, Cingia De' Botti (CR)","Canale Morlacchi, 558 Appartamento 84
00182, Roma (RM)",1999-07-06,5065577571,1,2
1705003,Raimondo Sanudo,ninettabottigliero@example.net,1,5,10001,051736377,9979278707,"Borgo Calbo, 33 Appartamento 80
26814, Livraga (LO)","Canale Ansaldo, 32 Piano 8
17017, Cosseria (SV)",1997-05-05,5706803471,1,2
1705004,Massimiliano Trevisan,iannellinino@example.net,3,5,10001,+39 0363335266,9505846591,"Borgo Fausto, 21
63093, Agelli (AP)","Stretto Micheletto, 9 Piano 7
88044, Marcellinara (CZ)",1997-02-18,9281087574,1,2
1705005,Graziella Calbo,fredonibali@example.net,4,5,10001,381379120,2744819765,"Via Stefania, 40 Appartamento 89
86034, Guglionesi (CB)","Borgo Majewski, 97 Piano 1
48034, Fusignano (RA)",1997-12-05,9980018867,1,2
1705006,Paoletta Costanzi,morena48@example.net,1,5,10001,+39 36394803856,3794296122,"Viale Antonio, 93
58045, Stazione Di Monte Antico (GR)","Strada Giuliana, 2
25058, Sulzano (BS)",1998-04-02,8174118776,1,2
1705007,Dott. Osvaldo Petrucci,cappellinina@example.com,3,5,10001,+39 3820683507,1345017519,"Vicolo Lazzaro, 75
33031, Variano (UD)","Vicolo Ivan, 25
90144, Palermo (PA)",1998-10-13,8920379344,1,2
1705008,Benvenuto Chigi,marcotartaglia@example.net,7,5,10001,05864400365,1626075616,"Strada Camillo, 611 Appartamento 37
00135, La Giustiniana (RM)","Contrada Schiaparelli, 7
45030, Occhiobello (RO)",1999-07-12,7576663223,1,2
1705009,Coluccio Malatesta,gian16@example.net,1,5,10001,093423818,6428455873,"Contrada Raffaellino, 582
22072, Cermenate (CO)","Piazza Roncalli, 97 Appartamento 1
23851, Galbiate (LC)",1999-05-30,9125960395,1,2
1705010,Donato Scamarcio,gasperigiacinto@example.net,4,5,10001,+39 091934651,7904036650,"Contrada Raimondo, 69 Piano 6
44039, Final Di Rero (FE)","Strada Gullotta, 4
91015, Sperone Di Custonaci (TP)",1999-05-27,3121460263,1,2
1705011,Etta Basso,giuseppinacannizzaro@example.com,1,5,10001,+39 093219568,2485462777,"Canale Morrocco, 388 Appartamento 38
89868, Daffina' (VV)","Via Chigi, 93
64046, Leognano (TE)",1999-11-25,5018429305,1,2
1705012,Annalisa Zabarella,persicobarbara@example.net,1,5,10001,+39 0125992484,8279165333,"Borgo Tonia, 20 Piano 7
46013, Canneto Sull'Oglio (MN)","Strada Tonia, 483
26822, Brembio (LO)",1998-05-29,8510445270,1,2
1705013,Melina Lancisi,giacintonitti@example.net,5,5,10001,+39 04343266132,1602725671,"Incrocio Staglieno, 58 Appartamento 72
41042, Fiorano Modenese (MO)","Stretto Giacobbe, 14
28832, Belgirate (VB)",1998-07-25,3444745649,1,2
1705014,Riccardo Natta-Disdero,pragamario@example.org,7,5,10001,35109600304,1999099580,"Canale Loredana, 47 Piano 4
88021, San Floro (CZ)","Incrocio Antonello, 17 Piano 1
28802, Mergozzo (VB)",1998-11-28,9546659561,1,2
1705015,Sig. Gaspare Treccani,nigglidaniele@example.org,7,5,10001,+39 3770885023,8451026260,"Incrocio Mariana, 86 Appartamento 65
05029, San Gemini (TR)","Borgo Palladio, 9
80027, Frattamaggiore (NA)",1998-11-29,7202726768,1,2
1705016,Carmelo Bandello,olopresti@example.net,5,5,10001,01920525045,6550810648,"Incrocio Matteotti, 60
74025, Marina Di Ginosa (TA)","Stretto Melissa, 35 Piano 1
98073, Mistretta (ME)",1997-11-16,1431897291,1,2
1705017,Margherita Basso,verdimelissa@example.org,2,5,10001,03656336493,1098411507,"Canale Donato, 9
43055, Casale (PR)","Strada Orlando, 837 Appartamento 9
31047, Negrisia (TV)",1998-12-23,3308552515,1,2
1705018,Tiziano Tornatore-Giannelli,toselligemma@example.org,7,5,10001,0431663723,1269861105,"Contrada Coluccio, 6
28078, Romagnano Sesia (NO)","Canale Greco, 577 Appartamento 25
31012, Cappella Maggiore (TV)",1998-08-04,2102224318,1,2
1705019,Niccolò Bersani,fceci@example.com,6,5,10001,+39 3713844881,3892092148,"Strada Ramona, 929
20836, Fornaci (MB)","Contrada Martucci, 51
73047, Monteroni Di Lecce (LE)",1999-02-14,4633354364,1,2
1705020,Antonella Binaghi,elisacappelli@example.com,4,5,10001,+39 33482939954,2448532138,"Contrada Fanucci, 53
84050, Magliano Vetere (SA)","Piazza Puccio, 397
40041, Gaggio Montano (BO)",1999-10-03,5956458889,1,2
1705021,Sig. Lamberto Porzio,hsabbatini@example.com,4,5,10001,+39 0735134658,7266075825,"Vicolo Veltroni, 67 Piano 8
50053, Osteria Bianca (FI)","Stretto Salvatore, 490 Piano 7
33017, Tarcento (UD)",1999-05-21,1643583075,1,2
1705022,Bettina Tomaselli,eugeniaiadanza@example.com,3,5,10001,04323863958,7943801197,"Stretto Sibilia, 223 Piano 4
25019, Colombare Di Sirmione (BS)","Canale Giorgio, 36 Appartamento 5
73032, Castiglione (LE)",1997-03-18,1063823862,1,2
1705023,Alderano Bellò,torquatocanova@example.org,3,5,10001,+39 088375617,4636266410,"Canale Stefanelli, 37
41027, Roccapelago (MO)","Strada Fulvio, 163
20814, Valera (MB)",1998-04-29,4044087027,1,2
1705024,Antonella Valguarnera,trupianogiuliano@example.net,3,5,10001,0165627504,4350760844,"Rotonda Castioni, 339 Appartamento 84
26042, Cingia De' Botti (CR)","Canale Smirnoff, 614
63073, Offida (AP)",1998-09-25,9371146663,1,2
1705025,Sig. Giulio Benedetti,michelesanti@example.org,1,5,10001,+39 0812711818,7009863951,"Rotonda Beppe, 1 Appartamento 62
21015, Lonate Pozzolo (VA)","Piazza Vincentio, 5
75018, Stigliano (MT)",1998-10-14,8660421783,1,2
1705026,Etta Gravina,staglienogiorgio@example.net,3,5,10001,+39 0994453883,3950650415,"Contrada Cesare, 1 Piano 3
66023, Francavilla Al Mare (CH)","Stretto Oreste, 73 Appartamento 2
26049, Stagno Lombardo (CR)",1997-02-27,8306634805,1,2
1705027,Sig. Cirillo Monte,mbrugnaro@example.org,5,5,10001,+39 34784627318,3086168605,"Vicolo Carli, 48
11017, Morgex (AO)","Borgo Conti, 56 Appartamento 77
17019, Alpicella (SV)",1997-04-03,2023275135,1,2
1705028,Mario Nonis,rapisardirosaria@example.org,4,5,10001,37795100946,1065242731,"Piazza Pezzali, 965
64032, Santa Margherita Di Atri (TE)","Vicolo Murialdo, 42
20028, San Vittore Olona (MI)",1998-11-09,4010273436,1,2
1705029,Milo Carli,aldomonicelli@example.net,3,5,10001,0481821728,4037717889,"Incrocio Rizzoli, 73 Appartamento 45
86092, Cantalupo Nel Sannio (IS)","Stretto Angelina, 50 Appartamento 6
89044, Moschetta (RC)",1997-07-29,5472633323,1,2
1705030,Daniele Soprano,wcorbo@example.com,2,5,10001,057709540,1223723292,"Canale Ceci, 6 Appartamento 5
19016, Monterosso Al Mare (SP)","Stretto Liguori, 97 Piano 1
75027, San Giorgio Lucano (MT)",1998-06-06,9268161445,1,2
1705031,Benvenuto Ramazzotti,mmonaco@example.net,3,5,10002,3464064153,1875943657,"Via Sorrentino, 54
09123, Cagliari (CA)","Canale Rossana, 87
56010, San Giovanni Alla Vena (PI)",1998-06-24,1676161546,1,2
1705032,Claudio Pucci,wtron@example.net,3,5,10002,+39 33476037504,9773746945,"Canale Salgari, 797 Piano 3
22035, Canzo (CO)","Canale Pedrazzini, 75 Appartamento 86
00024, Castel Madama (RM)",1999-11-12,5040622205,1,2
1705033,Nina Mozart,xzoppetto@example.com,5,5,10002,+39 0735443637,7194011530,"Vicolo Virginia, 2 Piano 5
18020, Aurigo (IM)","Viale Antonetti, 7
43056, San Polo (PR)",1999-05-11,7184001015,1,2
1705034,Danilo Lupo,dparmitano@example.com,6,5,10002,+39 057800839,1820136327,"Vicolo Spallanzani, 42
86047, Santa Croce Di Magliano (CB)","Borgo Malenchini, 33
01030, Calcata Nuova (VT)",1999-01-09,4957738960,1,2
1705035,Elmo Inzaghi-Giannelli,pontierika@example.net,4,5,10002,+39 3807925181,6687890149,"Incrocio Benito, 99
42023, Cadelbosco Di Sopra (RE)","Stretto Prati, 88 Piano 3
73100, Torre Chianca (LE)",1997-01-26,6530655875,1,2
1705036,Rolando Stradivari,fedele29@example.com,4,5,10002,+39 09314338947,3796264597,"Incrocio Saragat, 3 Appartamento 35
14041, Agliano (AT)","Strada Enrico, 63
25054, Marone (BS)",1998-05-21,7329197993,1,2
1705037,Gianluigi Troisi-Babbo,horlando@example.net,3,5,10002,092238738,3242073024,"Viale Rastelli, 54 Piano 4
90013, Castelbuono (PA)","Via Orlando, 90 Piano 7
22020, Pare' (CO)",1997-01-15,4184207322,1,2
1705038,Francesca Volterra,bburcardo@example.net,3,5,10002,385687036,4607270274,"Stretto Zito, 8 Piano 8
24065, Lovere (BG)","Vicolo Galeati, 82 Piano 8
87032, Amantea Marina (CS)",1997-08-07,8059174550,1,2
1705039,Sig.ra Gianna Callegaro,cadornapellegrino@example.net,6,5,10002,34377979860,7918921854,"Vicolo Borrani, 24 Piano 7
19038, Marinella Di Sarzana (SP)","Viale Toninelli, 99
20053, Rodano (MI)",1997-08-11,6929488555,1,2
1705040,Ludovica Trillini,pininfarinaalfio@example.org,7,5,10002,0342895052,7506792374,"Piazza Faranda, 796 Piano 5
80063, Piano Di Sorrento (NA)","Vicolo Gremese, 34
16015, Orero (GE)",1999-05-17,7109834077,1,2
1705041,Pierpaolo Martinelli,livia94@example.org,3,5,10002,+39 07736305715,3464977919,"Vicolo Cirillo, 20 Piano 8
95012, Mitogio (CT)","Strada Manunta, 793 Appartamento 0
14018, Roatto (AT)",1997-06-16,3297671122,1,2
1705042,Cristina Federici,michelangelomazzanti@example.com,6,5,10002,0183227080,3243966375,"Strada Ricciotti, 79 Piano 3
61011, Case Badioli (PU)","Rotonda Arnaldo, 81
20054, Segrate (MI)",1997-09-22,5603916753,1,2
1705043,Piergiuseppe Boccaccio-Monti,lisa47@example.org,7,5,10002,08125376119,7820471044,"Viale Ottavio, 76 Piano 6
70129, Loseto (BA)","Strada Morucci, 8 Piano 2
95036, Randazzo (CT)",1998-04-23,7969704784,1,2
1705044,Cassandra Pedrazzini,ferrettiliberto@example.org,2,5,10002,03426138657,9871988592,"Piazza Danilo, 72 Appartamento 4
89012, Delianuova (RC)","Viale Acerbi, 35 Piano 6
16030, Sant'Anna (GE)",1997-08-11,3289426258,1,2
1705045,Giancarlo Barcella-Nievo,jzola@example.org,6,5,10002,+39 08842990615,5362900302,"Stretto Valentina, 9 Piano 5
21047, Saronno (VA)","Vicolo Serena, 8
80019, Qualiano (NA)",1999-05-14,6097480398,1,2
1705046,Elena Ajello-Campano,lucio51@example.org,5,5,10002,+39 0574241030,4169451900,"Rotonda Vincentio, 699
38045, Seregnano (TN)","Rotonda Venancio, 46 Piano 1
26011, Casalbuttano (CR)",1997-07-05,5974284393,1,2
1705047,Nicoletta Antonello-Pedroni,concettaleopardi@example.net,4,5,10002,+39 05773109136,6952820569,"Canale Tamburi, 296 Appartamento 4
98137, Santo Stefano Di Briga (ME)","Viale Donatello, 56
20815, Cogliate (MB)",1997-03-16,8659364570,1,2
1705048,Sig. Giancarlo Casadei,pnievo@example.org,4,5,10002,+39 3474915290,6211572596,"Canale Emma, 926 Appartamento 89
05018, Morrano Nuovo (TR)","Viale Giulio, 748
33098, San Lorenzo (PN)",1997-12-15,7834085138,1,2
1705049,Pierluigi Rossi,pduodo@example.org,6,5,10002,+39 346620416,6333240243,"Stretto Borzomì, 75 Piano 9
95013, Fiumefreddo Di Sicilia (CT)","Vicolo Fioravanti, 728 Piano 0
89058, Scilla (RC)",1998-02-08,3835424472,1,2
1705050,Dott. Giulietta Rizzo,camillo96@example.org,6,5,10002,+39 39341264996,4249197426,"Rotonda Donatella, 39 Piano 1
40131, Bologna (BO)","Contrada Satta, 27 Piano 0
44049, Vigarano Mainarda (FE)",1999-03-27,4787174794,1,2
1705051,Sig. Giampiero Vitturi,gottiettore@example.com,4,5,10002,+39 0773909431,7570399790,"Borgo Flaiano, 51 Piano 4
23875, Osnago (LC)","Contrada Iannucci, 63 Piano 1
67047, Rocca Di Cambio (AQ)",1998-03-12,2711712357,1,2
1705052,Silvio Badoglio,bernardo63@example.net,4,5,10002,080670572,8704608253,"Vicolo Morena, 8 Appartamento 6
37013, Boi (VR)","Incrocio Franzese, 5
95013, Fiumefreddo Di Sicilia (CT)",1999-06-17,7498919884,1,2
1705053,Dott. Filippa Micheletti,giacobbe00@example.org,4,5,10002,+39 366631897,8970271921,"Strada Marta, 664 Appartamento 37
87023, Cirella (CS)","Viale Mauro, 218 Piano 9
25065, Pieve (BS)",1997-05-08,2196889073,1,2
1705054,Marisa Falier,giannettileopoldo@example.com,4,5,10002,0363043715,6663776683,"Strada Rosina, 729 Piano 8
61100, Villa Ceccolini (PU)","Canale Ferraris, 50 Piano 7
56046, Riparbella (PI)",1997-03-17,2485954596,1,2
1705055,Flavio Filippelli,ilariamorgagni@example.com,1,5,10002,+39 03054956215,6352598568,"Stretto Fiamma, 19
32033, Arina (BL)","Strada Palmisano, 21 Piano 7
26825, Basiasco (LO)",1998-11-16,5327029970,1,2
